State,City,Zone,Category,Budget,Age Group,Ideal Travel Months,Gender,Destination
Odisha,Puri,East,Religious,Medium,60-100,May-August,Both,Jagannath Temple
Odisha,Puri,East,Beach,Low,18-60,January-April,Both,Puri Beach
Odisha,Puri,East,Festival,Medium,18-60,July,Both,Rath Yatra
Odisha,Puri,East,Lake,Medium,18-60,September-December,Both,Chilika Lake
Odisha,Puri,East,Craft Village,Low,18-60,January-April,Both,Raghurajpur Village
Odisha,Konark,East,Monument,Medium,18-60,September-December,Both,Sun Temple
Odisha,Konark,East,Beach,Low,18-60,January-April,Both,Chandrabhaga Beach
Odisha,Konark,East,Museum,Medium,18-60,September-December,Both,Konark Museum
Odisha,Konark,East,Festival,Medium,18-60,December,Both,Konark Dance Festival
Odisha,Konark,East,Nature,Low,18-60,May-August,Both,Balukhand Wildlife Sanctuary
Odisha,Cuttack,East,Historical,Medium,18-60,September-December,Both,Barabati Fort
Odisha,Cuttack,East,Religious,Medium,60-100,May-August,Both,Chandi Temple
Odisha,Cuttack,East,Festival,Medium,18-60,October,Both,Bali Yatra
Odisha,Cuttack,East,Zoo,Low,Teenagers,January-April,Both,Deer Park
Odisha,Cuttack,East,Shopping,Low,18-60,May-August,Both,Silver Filigree Market
Odisha,Sambalpur,East,Waterfall,Medium,18-60,September-December,Both,Hirakud Dam
Odisha,Sambalpur,East,Religious,Medium,60-100,May-August,Both,Samaleswari Temple
Odisha,Sambalpur,East,Wildlife,Medium,18-60,January-April,Both,Debrigarh Wildlife Sanctuary
Odisha,Sambalpur,East,Lake,Low,18-60,September-December,Both,Gudguda Waterfall
Odisha,Sambalpur,East,Culture,Medium,18-60,May-August,Both,Panchgani Handloom Village
Uttarakhand,Dehradun,North,Religious,Medium,18-60,September-December,Both,Tapkeshwar Temple
Uttarakhand,Dehradun,North,Nature,Low,18-60,January-April,Both,Robber's Cave
Uttarakhand,Dehradun,North,Museum,Low,18-60,May-August,Both,Forest Research Institute
Uttarakhand,Dehradun,North,Waterfall,Low,18-60,September-December,Both,Shikhar Fall
Uttarakhand,Dehradun,North,Adventure,Medium,18-60,January-April,Both,Maldevta
Uttarakhand,Mussoorie,North,Hill Station,Medium,18-60,September-December,Both,Gun Hill
Uttarakhand,Mussoorie,North,Waterfall,Low,18-60,January-April,Both,Kempty Falls
Uttarakhand,Mussoorie,North,Lake,Low,18-60,May-August,Both,Mussoorie Lake
Uttarakhand,Mussoorie,North,Nature,Medium,18-60,September-December,Both,Camel’s Back Road
Uttarakhand,Mussoorie,North,Historical,Medium,18-60,January-April,Both,Lal Tibba
Uttarakhand,Rishikesh,North,Religious,Medium,60-100,May-August,Both,Triveni Ghat
Uttarakhand,Rishikesh,North,Adventure,High,18-60,September-December,Both,River Rafting
Uttarakhand,Rishikesh,North,Bridge,Low,18-60,January-April,Both,Laxman Jhula
Uttarakhand,Rishikesh,North,Ashram,Medium,18-60,May-August,Both,Parmarth Niketan
Uttarakhand,Rishikesh,North,Waterfall,Low,18-60,September-December,Both,Neer Garh Waterfall
Uttarakhand,Haridwar,North,Religious,Medium,60-100,May-August,Both,Har Ki Pauri
Uttarakhand,Haridwar,North,Temple,Medium,18-60,September-December,Both,Mansa Devi Temple
Uttarakhand,Haridwar,North,Festival,Medium,18-60,January-April,Both,Kumbh Mela (once every 12 years)
Uttarakhand,Haridwar,North,Ashram,Medium,18-60,May-August,Both,Shantikunj Ashram
Uttarakhand,Haridwar,North,Zoo,Low,Teenagers,September-December,Both,Rajaji National Park
Uttarakhand,Nainital,North,Lake,Medium,18-60,January-April,Both,Naini Lake
Uttarakhand,Nainital,North,Hill Station,Medium,18-60,September-December,Both,Snow View Point
Uttarakhand,Nainital,North,Zoo,Low,Teenagers,May-August,Both,Nainital Zoo
Uttarakhand,Nainital,North,Religious,Medium,60-100,January-April,Both,Naina Devi Temple
Uttarakhand,Nainital,North,Nature,Medium,18-60,September-December,Both,Tiffin Top
Bihar,Patna,East,Religious,Medium,18-60,September-December,Both,Mahavir Mandir
Bihar,Patna,East,Historical,Medium,18-60,January-April,Both,Golghar
Bihar,Patna,East,Museum,Low,18-60,May-August,Both,Bihar Museum
Bihar,Patna,East,Zoo,Low,Teenagers,September-December,Both,Sanjay Gandhi Biological Park
Bihar,Patna,East,Monument,Medium,18-60,January-April,Both,Patna Sahib Gurudwara
Bihar,Gaya,East,Religious,Medium,60-100,May-August,Both,Mahabodhi Temple
Bihar,Gaya,East,Monument,Medium,18-60,September-December,Both,Vishnupad Temple
Bihar,Gaya,East,Lake,Low,18-60,January-April,Both,Falgu River
Bihar,Gaya,East,Cave,Medium,18-60,May-August,Both,Barabar Caves
Bihar,Gaya,East,Nature,Medium,18-60,September-December,Both,Dungeshwari Hills
Bihar,Nalanda,East,Historical,Medium,18-60,January-April,Both,Nalanda University Ruins
Bihar,Nalanda,East,Religious,Medium,60-100,May-August,Both,Black Buddha Temple
Bihar,Nalanda,East,Museum,Low,18-60,September-December,Both,Nalanda Archaeological Museum
Bihar,Nalanda,East,Monument,Medium,18-60,January-April,Both,Xuan Zang Memorial Hall
Bihar,Nalanda,East,Cave,Medium,18-60,May-August,Both,Rajgir Caves
Bihar,Rajgir,East,Historical,Medium,18-60,September-December,Both,Ajatshatru Fort
Bihar,Rajgir,East,Monument,Medium,18-60,January-April,Both,Vishwa Shanti Stupa
Bihar,Rajgir,East,Nature,Medium,18-60,May-August,Both,Hot Springs
Bihar,Rajgir,East,Cave,Medium,18-60,September-December,Both,Saptaparni Cave
Bihar,Rajgir,East,Religious,Medium,60-100,January-April,Both,Veerayatan Museum
Bihar,Vaishali,East,Historical,Medium,18-60,September-December,Both,Ashoka Pillar
Bihar,Vaishali,East,Religious,Medium,60-100,January-April,Both,Bawan Pokhar Temple
Bihar,Vaishali,East,Monument,Medium,18-60,May-August,Both,Ananda Stupa
Bihar,Vaishali,East,Nature,Low,18-60,September-December,Both,Abhishek Pushkarini
Bihar,Vaishali,East,Museum,Low,18-60,January-April,Both,Vaishali Museum
Assam,Guwahati,Northeast,Religious,Medium,18-60,September-December,Both,Kamakhya Temple
Assam,Guwahati,Northeast,Zoo,Low,Teenagers,January-April,Both,Assam State Zoo
Assam,Guwahati,Northeast,River,Low,18-60,May-August,Both,Brahmaputra River Cruise
Assam,Guwahati,Northeast,Historical,Medium,18-60,September-December,Both,Saraighat Bridge
Assam,Guwahati,Northeast,Museum,Low,18-60,January-April,Both,Assam State Museum
Assam,Kaziranga,Northeast,National Park,Medium,18-60,November-April,Both,Kaziranga National Park
Assam,Kaziranga,Northeast,Wildlife,Medium,18-60,November-April,Both,Kaziranga Elephant Safari
Assam,Kaziranga,Northeast,Eco-Tourism,Low,18-60,May-August,Both,Kaziranga Orchid and Biodiversity Park
Assam,Kaziranga,Northeast,Cultural,Medium,18-60,January-April,Both,Rang Ghar (near Kaziranga)
Assam,Jorhat,Northeast,Tea Estates,Medium,18-60,September-December,Both,Tocklai Tea Research Institute
Assam,Jorhat,Northeast,Island,Medium,18-60,January-April,Both,Majuli Island
Assam,Jorhat,Northeast,Religious,Medium,60-100,May-August,Both,Shri Shri Auniati Satra
Assam,Jorhat,Northeast,Historical,Medium,18-60,September-December,Both,Gibbon Wildlife Sanctuary
Assam,Tezpur,Northeast,Historical,Medium,18-60,January-April,Both,Agnigarh Hill
Assam,Tezpur,Northeast,River,Medium,18-60,May-August,Both,Bhairabi Temple
Assam,Tezpur,Northeast,Nature,Medium,18-60,September-December,Both,Nameri National Park
Assam,Dibrugarh,Northeast,Tea Estates,Medium,18-60,January-April,Both,Dibru-Saikhowa National Park
Assam,Dibrugarh,Northeast,Wildlife,Medium,18-60,September-December,Both,Dehing Patkai Wildlife Sanctuary
Assam,Dibrugarh,Northeast,Historical,Medium,18-60,January-April,Both,Raidongia Dol
Assam,Silchar,Northeast,Religious,Medium,60-100,May-August,Both,Kachakanti Temple
Assam,Silchar,Northeast,Nature,Medium,18-60,January-April,Both,Maniharan Tunnel
Arunachal Pradesh,Tawang,Northeast,Monastery,Medium,18-60,September-December,Both,Tawang Monastery
Arunachal Pradesh,Tawang,Northeast,Lake,Low,18-60,January-April,Both,Madhuri Lake
Arunachal Pradesh,Tawang,Northeast,Historical,Medium,18-60,September-December,Both,Tawang War Memorial
Arunachal Pradesh,Tawang,Northeast,Nature,Low,18-60,May-August,Both,Nuranang Falls
Arunachal Pradesh,Tawang,Northeast,Pass,Medium,18-60,January-April,Both,Sela Pass
Arunachal Pradesh,Itanagar,Northeast,Religious,Medium,60-100,May-August,Both,Buddha Temple
Arunachal Pradesh,Itanagar,Northeast,Historical,Medium,18-60,September-December,Both,Ita Fort
Arunachal Pradesh,Itanagar,Northeast,Zoo,Low,Teenagers,January-April,Both,Itanagar Zoological Park
Arunachal Pradesh,Itanagar,Northeast,Museum,Medium,18-60,September-December,Both,Jawaharlal Nehru State Museum
Arunachal Pradesh,Itanagar,Northeast,Park,Low,18-60,May-August,Both,Indira Gandhi Park
Arunachal Pradesh,Ziro,Northeast,Nature,Medium,18-60,September-December,Both,Ziro Valley
Arunachal Pradesh,Ziro,Northeast,Festival,Medium,18-60,January-April,Both,Ziro Music Festival
Arunachal Pradesh,Ziro,Northeast,Lake,Low,18-60,May-August,Both,Tarin Fish Farm
Arunachal Pradesh,Ziro,Northeast,Religious,Medium,60-100,September-December,Both,Meghna Cave Temple
Arunachal Pradesh,Ziro,Northeast,Wildlife,Medium,18-60,January-April,Both,Talley Valley Wildlife Sanctuary
Arunachal Pradesh,Bomdila,Northeast,Monastery,Medium,18-60,September-December,Both,Bomdila Monastery
Arunachal Pradesh,Bomdila,Northeast,Museum,Medium,18-60,January-April,Both,Craft Centre and Ethnographic Museum
Arunachal Pradesh,Bomdila,Northeast,Nature,Low,18-60,May-August,Both,Bomdila View Point
Arunachal Pradesh,Bomdila,Northeast,Pass,Medium,18-60,September-December,Both,Dirang Valley
Arunachal Pradesh,Bomdila,Northeast,Wildlife,Medium,18-60,January-April,Both,Eaglenest Wildlife Sanctuary
Arunachal Pradesh,Pasighat,Northeast,Nature,Medium,18-60,September-December,Both,Siang River
Arunachal Pradesh,Pasighat,Northeast,Wildlife,Medium,18-60,January-April,Both,Daying Ering Wildlife Sanctuary
Arunachal Pradesh,Pasighat,Northeast,Adventure,Medium,18-60,May-August,Both,River Rafting in Siang
Arunachal Pradesh,Pasighat,Northeast,Religious,Medium,60-100,September-December,Both,Kekar Monying
Arunachal Pradesh,Pasighat,Northeast,Festival,Medium,18-60,January-April,Both,Solung Festival
Himachal Pradesh,Shimla,North,Hill Station,Medium,18-60,March-June,Both,The Ridge
Himachal Pradesh,Shimla,North,Historical,Medium,18-60,September-December,Both,Viceregal Lodge
Himachal Pradesh,Shimla,North,Nature,Medium,18-60,January-April,Both,Kufri
Himachal Pradesh,Shimla,North,Religious,Low,60-100,May-August,Both,Jakhoo Temple
Himachal Pradesh,Shimla,North,Shopping,Low,18-60,January-April,Both,Mall Road
Himachal Pradesh,Manali,North,Hill Station,Medium,18-60,March-June,Both,Solang Valley
Himachal Pradesh,Manali,North,Adventure,Medium,18-60,January-April,Both,Rohtang Pass
Himachal Pradesh,Manali,North,Religious,Low,60-100,May-August,Both,Hidimba Devi Temple
Himachal Pradesh,Manali,North,Nature,Medium,18-60,September-December,Both,Jogini Waterfall
Himachal Pradesh,Manali,North,Historical,Medium,18-60,January-April,Both,Naggar Castle
Himachal Pradesh,Dharamshala,North,Religious,Medium,18-60,March-June,Both,Dalai Lama Temple
Himachal Pradesh,Dharamshala,North,Lake,Low,18-60,September-December,Both,Dal Lake
Himachal Pradesh,Dharamshala,North,Monastery,Medium,18-60,January-April,Both,Namgyal Monastery
Himachal Pradesh,Dharamshala,North,Nature,Medium,18-60,May-August,Both,Triund Trek
Himachal Pradesh,Dharamshala,North,Museum,Low,18-60,January-April,Both,War Memorial
Himachal Pradesh,Dalhousie,North,Hill Station,Medium,18-60,March-June,Both,Khajjiar
Himachal Pradesh,Dalhousie,North,Nature,Medium,18-60,January-April,Both,Panchpula
Himachal Pradesh,Dalhousie,North,Religious,Low,60-100,May-August,Both,St. John's Church
Himachal Pradesh,Dalhousie,North,Adventure,Medium,18-60,September-December,Both,Dainkund Peak
Himachal Pradesh,Dalhousie,North,Historical,Medium,18-60,January-April,Both,Subhash Baoli
Himachal Pradesh,Kullu,North,Nature,Medium,18-60,March-June,Both,Great Himalayan National Park
Himachal Pradesh,Kullu,North,Adventure,Medium,18-60,September-December,Both,Bijli Mahadev Trek
Himachal Pradesh,Kullu,North,Religious,Low,60-100,May-August,Both,Raghunath Temple
Himachal Pradesh,Kullu,North,Festival,Medium,18-60,January-April,Both,Kullu Dussehra
Himachal Pradesh,Kullu,North,River,Medium,18-60,March-June,Both,Beas River Rafting
Meghalaya,Shillong,Northeast,Lake,Low,18-60,January-April,Both,Umiam Lake
Meghalaya,Shillong,Northeast,Waterfall,Medium,18-60,September-December,Both,Elephant Falls
Meghalaya,Shillong,Northeast,Park,Low,Teenagers,May-August,Both,Lady Hydari Park
Meghalaya,Shillong,Northeast,Cave,Medium,18-60,January-April,Both,Mawsmai Cave
Meghalaya,Shillong,Northeast,Peak,Medium,18-60,September-December,Both,Shillong Peak
Meghalaya,Cherrapunji,Northeast,Waterfall,Medium,18-60,September-December,Both,Nohkalikai Falls
Meghalaya,Cherrapunji,Northeast,Cave,Medium,18-60,January-April,Both,Arwah Cave
Meghalaya,Cherrapunji,Northeast,Bridge,Medium,18-60,May-August,Both,Double Decker Living Root Bridge
Meghalaya,Cherrapunji,Northeast,Valley,Medium,18-60,September-December,Both,Seven Sisters Falls
Meghalaya,Cherrapunji,Northeast,Forest,Medium,18-60,January-April,Both,Eco Park
Meghalaya,Mawsynram,Northeast,Nature,Medium,18-60,May-August,Both,Mawsynram Village
Meghalaya,Mawsynram,Northeast,Cave,Medium,18-60,January-April,Both,Mawjymbuin Cave
Meghalaya,Mawsynram,Northeast,Rainfall,Medium,18-60,September-December,Both,Mawsynram Rainforest
Meghalaya,Mawsynram,Northeast,Hiking,Medium,18-60,January-April,Both,David Scott Trail
Meghalaya,Mawsynram,Northeast,Cultural,Medium,18-60,May-August,Both,Local Khasi Villages
Meghalaya,Dawki,Northeast,River,Medium,18-60,September-December,Both,Umngot River
Meghalaya,Dawki,Northeast,Border,Low,18-60,January-April,Both,India-Bangladesh Border
Meghalaya,Dawki,Northeast,Boating,Medium,18-60,May-August,Both,Dawki Boating Point
Meghalaya,Dawki,Northeast,Fishing,Medium,18-60,September-December,Both,Shnongpdeng Village
Meghalaya,Dawki,Northeast,Camping,Medium,18-60,January-April,Both,Dawki Riverside Camping
Meghalaya,Jowai,Northeast,Lake,Low,18-60,January-April,Both,Krang Suri Waterfall
Meghalaya,Jowai,Northeast,Cultural,Medium,18-60,September-December,Both,Nartiang Monoliths
Meghalaya,Jowai,Northeast,Waterfall,Medium,18-60,May-August,Both,Thadlaskein Lake
Meghalaya,Jowai,Northeast,Historical,Medium,18-60,September-December,Both,Lalong Park
Meghalaya,Jowai,Northeast,Nature,Medium,18-60,January-April,Both,Tyrshi Falls
Sikkim,Gangtok,North-East,Monastery,Medium,18-60,September-December,Both,Rumtek Monastery
Sikkim,Gangtok,North-East,Lake,Low,18-60,January-April,Both,Tsomgo Lake
Sikkim,Gangtok,North-East,Nature,Medium,18-60,May-August,Both,Nathula Pass
Sikkim,Gangtok,North-East,Zoo,Low,Teenagers,September-December,Both,Himalayan Zoological Park
Sikkim,Gangtok,North-East,Historical,Medium,18-60,January-April,Both,Namgyal Institute of Tibetology
Sikkim,Pelling,North-East,Monastery,Medium,18-60,September-December,Both,Pemayangtse Monastery
Sikkim,Pelling,North-East,Waterfall,Low,18-60,May-August,Both,Kanchenjunga Falls
Sikkim,Pelling,North-East,Monument,Medium,18-60,January-April,Both,Rabdentse Ruins
Sikkim,Pelling,North-East,Nature,Medium,18-60,September-December,Both,Singshore Bridge
Sikkim,Pelling,North-East,Lake,Low,18-60,January-April,Both,Khecheopalri Lake
Sikkim,Lachung,North-East,Nature,Medium,18-60,May-August,Both,Yumthang Valley
Sikkim,Lachung,North-East,Religious,Medium,60-100,September-December,Both,Lachung Monastery
Sikkim,Lachung,North-East,Waterfall,Low,18-60,January-April,Both,Seven Sisters Waterfall
Sikkim,Lachung,North-East,Nature,Medium,18-60,May-August,Both,Zero Point
Sikkim,Lachung,North-East,Lake,Low,18-60,January-April,Both,Green Lake
Sikkim,Namchi,North-East,Religious,Medium,60-100,September-December,Both,Char Dham
Sikkim,Namchi,North-East,Monastery,Medium,18-60,January-April,Both,Samdruptse Monastery
Sikkim,Namchi,North-East,Statue,Medium,18-60,May-August,Both,Guru Padmasambhava Statue
Sikkim,Namchi,North-East,Garden,Low,18-60,January-April,Both,Temi Tea Garden
Sikkim,Namchi,North-East,Festival,Medium,18-60,September-December,Both,Namchi Mahotsav
Haryana,Gurgaon,North,Entertainment,Medium,18-60,January-April,Both,Kingdom of Dreams
Haryana,Gurgaon,North,Lake,Low,18-60,September-December,Both,Damdama Lake
Haryana,Gurgaon,North,Historical,Medium,18-60,January-April,Both,Sheetla Mata Mandir
Haryana,Gurgaon,North,Shopping,Medium,18-60,May-August,Both,Ambience Mall
Haryana,Gurgaon,North,Adventure,Medium,18-60,September-December,Both,Leisure Valley Park
Haryana,Faridabad,North,Festival,Medium,18-60,January-April,Both,Surajkund Mela
Haryana,Faridabad,North,Religious,Medium,60-100,May-August,Both,Shri Maharani Vaishno Devi Mandir
Haryana,Faridabad,North,Lake,Low,18-60,September-December,Both,Badkhal Lake
Haryana,Faridabad,North,Historical,Medium,18-60,January-April,Both,Raja Nahar Singh Palace
Haryana,Faridabad,North,Shopping,Low,18-60,May-August,Both,Crown Interiorz Mall
Haryana,Karnal,North,Historical,Medium,18-60,September-December,Both,Karnal Fort
Haryana,Karnal,North,Religious,Medium,60-100,May-August,Both,Kalander Shah's Tomb
Haryana,Karnal,North,Food,Low,18-60,January-April,Both,Karnal Haveli
Haryana,Karnal,North,Nature,Medium,18-60,September-December,Both,Cantonment Church Tower
Haryana,Karnal,North,Adventure,Medium,18-60,January-April,Both,Karan Lake
Haryana,Kurukshetra,North,Religious,Medium,60-100,May-August,Both,Brahma Sarovar
Haryana,Kurukshetra,North,Historical,Medium,18-60,September-December,Both,Sheikh Chilli's Tomb
Haryana,Kurukshetra,North,Monument,Medium,18-60,January-April,Both,Sthaneshwar Mahadev Temple
Haryana,Kurukshetra,North,Museum,Low,18-60,May-August,Both,Kurukshetra Panorama & Science Centre
Haryana,Kurukshetra,North,Festival,Medium,18-60,January-April,Both,Gita Mahotsav
Haryana,Panchkula,North,Nature,Medium,18-60,January-April,Both,Morni Hills
Haryana,Panchkula,North,Religious,Medium,60-100,May-August,Both,Mata Mansa Devi Temple
Haryana,Panchkula,North,Adventure,Medium,18-60,September-December,Both,Pinjore Gardens
Haryana,Panchkula,North,Historical,Medium,18-60,January-April,Both,Nada Sahib Gurudwara
Haryana,Panchkula,North,Wildlife,Medium,18-60,September-December,Both,Khol Hi-Raitan Wildlife Sanctuary
Andhra Pradesh,Visakhapatnam,South,Beach,Medium,18-60,September-December,Both,Ramakrishna Beach
Andhra Pradesh,Visakhapatnam,South,Hill Station,Medium,18-60,January-April,Both,Araku Valley
Andhra Pradesh,Visakhapatnam,South,Museum,Low,18-60,September-December,Both,INS Kurusura Submarine Museum
Andhra Pradesh,Visakhapatnam,South,Religious,Low,60-100,May-August,Both,Simhachalam Temple
Andhra Pradesh,Visakhapatnam,South,Nature,Medium,18-60,January-April,Both,Kailasagiri
Andhra Pradesh,Tirupati,South,Religious,Medium,60-100,January-April,Both,Tirumala Temple
Andhra Pradesh,Tirupati,South,Waterfall,Medium,18-60,September-December,Both,Talakona Waterfalls
Andhra Pradesh,Tirupati,South,Zoo,Low,Teenagers,May-August,Both,Sri Venkateswara Zoological Park
Andhra Pradesh,Tirupati,South,Historical,Medium,18-60,January-April,Both,Chandragiri Fort
Andhra Pradesh,Tirupati,South,Lake,Low,18-60,September-December,Both,Kapila Theertham
Andhra Pradesh,Amaravati,South,Historical,Medium,18-60,January-April,Both,Amaravati Stupa
Andhra Pradesh,Amaravati,South,Religious,Medium,60-100,May-August,Both,Amaralingeswara Temple
Andhra Pradesh,Amaravati,South,Museum,Low,18-60,September-December,Both,Archaeological Museum
Andhra Pradesh,Amaravati,South,Monument,Medium,18-60,January-April,Both,Dhyana Buddha Statue
Andhra Pradesh,Amaravati,South,Festival,Medium,18-60,May-August,Both,Krishna Pushkaralu (every 12 years)
Andhra Pradesh,Vijayawada,South,Religious,Medium,60-100,January-April,Both,Kanaka Durga Temple
Andhra Pradesh,Vijayawada,South,Hill,Medium,18-60,September-December,Both,Indrakeeladri Hill
Andhra Pradesh,Vijayawada,South,Historical,Medium,18-60,January-April,Both,Undavalli Caves
Andhra Pradesh,Vijayawada,South,Nature,Low,18-60,May-August,Both,Bhavani Island
Andhra Pradesh,Vijayawada,South,Monument,Medium,18-60,September-December,Both,Prakasam Barrage
Andhra Pradesh,Srisailam,South,Religious,Medium,60-100,May-August,Both,Mallikarjuna Temple
Andhra Pradesh,Srisailam,South,Wildlife,Medium,18-60,January-April,Both,Nallamala Forest
Andhra Pradesh,Srisailam,South,Dam,Medium,18-60,September-December,Both,Srisailam Dam
Andhra Pradesh,Srisailam,South,Nature,Low,18-60,January-April,Both,Ista Kameswari Temple
Andhra Pradesh,Srisailam,South,Festival,Medium,18-60,May-August,Both,Maha Shivaratri Festival
Delhi,New Delhi,North,Historical,Medium,18-60,September-December,Both,Red Fort
Delhi,New Delhi,North,Monument,Medium,18-60,January-April,Both,India Gate
Delhi,New Delhi,North,Religious,Low,All Ages,May-August,Both,Jama Masjid
Delhi,New Delhi,North,Museum,Low,18-60,September-December,Both,National Museum
Delhi,New Delhi,North,Park,Low,Teenagers,January-April,Both,Lodhi Garden
Delhi,New Delhi,North,Shopping,Low,18-60,May-August,Both,Chandni Chowk
Delhi,New Delhi,North,Food,Low,18-60,January-April,Both,Paranthe Wali Gali
Delhi,New Delhi,North,Nature,Medium,18-60,September-December,Both,Garden of Five Senses
Delhi,New Delhi,North,Zoo,Low,Teenagers,May-August,Both,National Zoological Park
Delhi,New Delhi,North,Temple,Medium,All Ages,January-April,Both,Akshardham Temple
Delhi,New Delhi,North,Monument,Medium,18-60,September-December,Both,Qutub Minar
Delhi,New Delhi,North,Memorial,Low,All Ages,January-April,Both,Raj Ghat
Delhi,New Delhi,North,Religious,Medium,60-100,May-August,Both,Lotus Temple
Delhi,New Delhi,North,Museum,Medium,18-60,September-December,Both,Gandhi Smriti
Delhi,New Delhi,North,Palace,Medium,18-60,January-April,Both,Rashtrapati Bhavan
Delhi,New Delhi,North,Historical,Medium,18-60,September-December,Both,Humayun's Tomb
Delhi,New Delhi,North,Park,Low,Teenagers,May-August,Both,Nehru Park
Delhi,New Delhi,North,Festival,Medium,18-60,January-April,Both,Delhi International Trade Fair
Delhi,New Delhi,North,Science,Low,All Ages,May-August,Both,Nehru Planetarium
Delhi,New Delhi,North,Shopping,Low,18-60,September-December,Both,Dilli Haat
Jammu & Kashmir,Srinagar,North,Lake,Medium,18-60,April-September,Both,Dal Lake
Jammu & Kashmir,Srinagar,North,Garden,Low,18-60,April-September,Both,Shalimar Bagh
Jammu & Kashmir,Srinagar,North,Religious,Medium,18-60,September-December,Both,Shankaracharya Temple
Jammu & Kashmir,Srinagar,North,Historical,Medium,18-60,January-April,Both,Pari Mahal
Jammu & Kashmir,Srinagar,North,Shopping,Low,18-60,May-August,Both,Lal Chowk Market
Jammu & Kashmir,Gulmarg,North,Adventure,High,18-60,December-March,Both,Gulmarg Ski Resort
Jammu & Kashmir,Gulmarg,North,Cable Car,Medium,18-60,April-September,Both,Gulmarg Gondola
Jammu & Kashmir,Gulmarg,North,Nature,Medium,18-60,May-August,Both,Alpather Lake
Jammu & Kashmir,Gulmarg,North,Wildlife,Low,18-60,September-December,Both,Gulmarg Biosphere Reserve
Jammu & Kashmir,Gulmarg,North,Photography,Medium,18-60,January-April,Both,Strawberry Valley
Jammu & Kashmir,Pahalgam,North,Nature,Medium,18-60,April-September,Both,Betaab Valley
Jammu & Kashmir,Pahalgam,North,Trekking,Medium,18-60,May-August,Both,Aru Valley
Jammu & Kashmir,Pahalgam,North,Religious,Medium,18-60,June-August,Both,Amarnath Cave Temple
Jammu & Kashmir,Pahalgam,North,Photography,Medium,18-60,January-April,Both,Lidder River
Jammu & Kashmir,Pahalgam,North,Fishing,Low,18-60,May-October,Both,Sheshnag Lake
Jammu & Kashmir,Leh,North,Monastery,Medium,18-60,May-September,Both,Thiksey Monastery
Jammu & Kashmir,Leh,North,Lake,High,18-60,June-September,Both,Pangong Lake
Jammu & Kashmir,Leh,North,Adventure,High,18-60,May-October,Both,Khardung La Pass
Jammu & Kashmir,Leh,North,Nature,Medium,18-60,May-September,Both,Magnetic Hill
Jammu & Kashmir,Leh,North,Wildlife,Medium,18-60,October-February,Both,Hemis National Park
Jammu & Kashmir,Jammu,North,Religious,Medium,60-100,January-April,Both,Vaishno Devi Temple
Jammu & Kashmir,Jammu,North,Historical,Medium,18-60,May-August,Both,Mubarak Mandi Palace
Jammu & Kashmir,Jammu,North,Museum,Low,18-60,January-April,Both,Dogra Art Museum
Jammu & Kashmir,Jammu,North,Lake,Low,18-60,September-December,Both,Mansar Lake
Jammu & Kashmir,Jammu,North,Shopping,Low,18-60,May-August,Both,Raghunath Bazaar
Ladakh,Leh,North,Monastery,Medium,18-60,May-September,Both,Hemis Monastery
Ladakh,Leh,North,Lake,Medium,18-60,May-September,Both,Pangong Lake
Ladakh,Leh,North,Adventure,High,18-40,June-October,Both,Khardung La Pass
Ladakh,Leh,North,Historical,Medium,18-60,May-September,Both,Leh Palace
Ladakh,Leh,North,Nature,Medium,18-60,May-September,Both,Magnetic Hill
Ladakh,Kargil,North,War Memorial,Medium,18-60,May-September,Both,Kargil War Memorial
Ladakh,Kargil,North,Religious,Medium,18-60,May-September,Both,Mulbekh Monastery
Ladakh,Kargil,North,Historical,Medium,18-60,May-September,Both,Dras War Memorial
Ladakh,Kargil,North,Adventure,High,18-40,June-September,Both,Suru Valley Trek
Ladakh,Kargil,North,Food,Low,18-60,May-September,Both,Poyen Village Traditional Cuisine
Ladakh,Nubra Valley,North,Desert,Medium,18-60,May-September,Both,Hunder Sand Dunes
Ladakh,Nubra Valley,North,Monastery,Medium,18-60,May-September,Both,Diskit Monastery
Ladakh,Nubra Valley,North,Adventure,High,18-40,June-September,Both,ATV Ride in Hunder
Ladakh,Nubra Valley,North,Festival,Medium,18-60,July-August,Both,Diskit Gustor Festival
Ladakh,Nubra Valley,North,Lake,Medium,18-60,May-September,Both,Yarab Tso Lake
Ladakh,Zanskar Valley,North,Trekking,High,18-40,June-October,Both,Chadar Trek
Ladakh,Zanskar Valley,North,Religious,Medium,18-60,May-September,Both,Sani Monastery
Ladakh,Zanskar Valley,North,Nature,Medium,18-60,May-September,Both,Drang Drung Glacier
Ladakh,Zanskar Valley,North,Adventure,High,18-40,June-September,Both,Rafting on Zanskar River
Ladakh,Zanskar Valley,North,Cultural,Medium,18-60,May-September,Both,Zanskar Festival
Telangana,Hyderabad,South,Historical,Medium,18-60,September-December,Both,Charminar
Telangana,Hyderabad,South,Lake,Low,18-60,January-April,Both,Hussain Sagar Lake
Telangana,Hyderabad,South,Museum,Medium,18-60,September-December,Both,Salar Jung Museum
Telangana,Hyderabad,South,Zoo,Low,Teenagers,May-August,Both,Nehru Zoological Park
Telangana,Hyderabad,South,Fort,Medium,18-60,September-December,Both,Golconda Fort
Telangana,Warangal,South,Historical,Medium,18-60,September-December,Both,Warangal Fort
